ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,3453,1739352228593,0.41186,-2.44726,8.99163,0.28609,7.64824,-12.98866
RV,3454,1739352228608,0.41186,-2.44726,8.99163,-1.22448,7.14472,-14.73574
RV,3455,1739352228627,-0.05474,-1.82034,9.97747,-8.53704,5.60744,-28.51402
RV,3456,1739352228644,-0.99272,-1.21256,9.87937,-7.13327,2.8762,-22.84555
RV,3457,1739352228657,-0.42562,-0.71486,10.57807,36.31866,-7.91908,69.22708
RV,3458,1739352228675,-0.35862,-1.88734,10.36032,32.62233,-7.57958,62.60497
RV,3459,1739352228692,-0.07627,-1.91845,9.85544,17.17708,-3.86036,34.55251
RV,3460,1739352228707,-0.12891,-3.6676,7.733,7.50329,-2.01792,20.36988
RV,3461,1739352228723,-0.12891,-3.6676,7.733,-1.8043,0.49208,6.18726
RV,3462,1739352228741,-0.82762,0.30927,10.69532,-6.56872,1.55254,4.20749
RV,3463,1739352228757,-0.38016,-3.50249,11.68355,-3.62386,1.92255,14.23603
RV,3464,1739352228774,-0.58116,-3.47139,8.87677,-7.73598,3.23477,12.07698
RV,3465,1739352228794,2.15623,-0.37507,9.94876,-20.44617,6.14148,-9.49069
RV,3466,1739352228809,0.40469,-1.86341,10.41057,-20.24782,4.46688,-11.95872
RV,3467,1739352228825,0.40469,-1.86341,10.41057,-18.88219,1.71275,-15.86867
RV,3468,1739352228841,-0.33948,0.21595,10.48475,-2.18576,-9.46017,2.11328
RV,3469,1739352228855,-0.2653,-1.65284,9.89851,15.87249,-19.1454,29.19683
RV,3470,1739352228875,-0.32991,-1.44467,9.58266,9.95607,-16.51334,17.16563
RV,3471,1739352228889,-0.58834,-3.88056,9.11127,6.91584,-13.33197,11.01652
RV,3472,1739352228906,-0.58834,-3.88056,9.11127,5.86683,-12.01976,8.93757
RV,3473,1739352228923,-1.26072,-1.70309,10.81975,1.52583,-8.22043,1.03757
RV,3474,1739352228941,-0.02363,-1.96391,9.5348,-5.36712,-2.69691,-10.11246
RV,3475,1739352228958,-0.72712,-0.32483,10.30768,-3.90995,0.15258,-3.90232
RV,3476,1739352228974,0.02423,-3.49771,9.13281,-8.07929,8.76973,-3.6353
RV,3477,1739352228993,-0.41844,-1.24606,10.20479,-18.31764,12.44318,-27.12933
RV,3478,1739352229010,0.03141,-2.2654,10.37468,-15.85723,11.88243,-30.654
RV,3479,1739352229025,0.03141,-2.2654,10.37468,-12.29441,10.15442,-28.04483
RV,3480,1739352229041,0.58175,0.02931,10.16411,-2.3269,5.1001,-15.31937
RV,3481,1739352229056,-0.00927,-2.72243,9.85544,0.85828,3.66963,-11.11951
RV,3482,1739352229075,0.21087,-2.28215,9.8339,7.74742,-0.62941,-2.54051
RV,3483,1739352229092,0.87129,-1.62174,9.51805,-0.94983,-2.37267,-25.2907
RV,3484,1739352229108,-1.37797,-2.21755,11.67638,2.18576,-6.10334,-21.72406
RV,3485,1739352229123,-1.37797,-2.21755,11.67638,2.94104,-4.32574,-16.50189
RV,3486,1739352229137,0.41665,-0.9326,9.47976,3.65437,-2.39937,-11.73748
RV,3487,1739352229154,-0.69601,-0.37747,10.39861,3.93665,-1.75471,-11.03178
RV,3488,1739352229175,0.49322,-2.06201,8.53939,5.6227,2.02173,-2.5634
RV,3489,1739352229191,0.10798,-0.09511,10.11147,5.82106,6.95017,5.1001
RV,3490,1739352229208,0.10798,-0.09511,10.11147,7.85804,7.26678,10.39856
RV,3491,1739352229221,-1.18654,0.41934,9.48216,46.73629,12.20286,103.66898
RV,3492,1739352229238,0.15344,-8.02254,8.4341,-10.9326,7.78938,-27.3048
RV,3493,1739352229253,-1.90917,-0.29133,11.52563,-56.63514,24.48201,-97.50079
RV,3494,1739352229271,3.04636,1.666,11.35334,-29.12054,20.7666,-45.13798
RV,3495,1739352229288,-0.66969,-3.41396,8.24507,-9.77297,4.341,-28.92981
RV,3496,1739352229307,-0.66969,-3.41396,8.24507,-9.90648,4.45543,-29.31127
RV,3497,1739352229322,2.75444,-3.00239,11.27678,-18.27567,1.96833,-51.73721
RV,3498,1739352229343,0.1654,3.16391,10.11865,-49.79177,9.55935,-104.41281
RV,3499,1739352229359,-0.70798,-2.72243,10.69053,-9.93699,-9.48306,-53.51481
RV,3500,1739352229373,1.42881,-0.75793,8.9677,63.5281,-23.99374,98.6566
RV,3501,1739352229390,1.20389,-0.79143,9.75973,16.13951,-19.17973,-4.37533
RV,3502,1739352229413,-0.40409,1.46979,8.93181,1.59831,-5.73332,-12.31348
RV,3503,1739352229427,-0.40409,1.46979,8.93181,30.42513,-12.45462,44.829
RV,3504,1739352229440,-0.34187,-4.44766,1.66241,6.92347,3.63148,20.12193
RV,3505,1739352229458,3.33111,-0.7986,15.09093,-6.40087,0.69044,-9.1016
RV,3506,1739352229477,1.2015,0.1322,1.33699,-1.95307,7.25153,9.50595
RV,3507,1739352229491,0.67268,-2.30848,6.45045,-25.65308,22.10933,-20.244
RV,3508,1739352229508,0.67268,-2.30848,6.45045,-30.81422,25.14956,-27.2781
RV,3509,1739352229525,-3.14626,3.85544,13.25085,29.11672,4.81782,63.35644
RV,3510,1739352229544,-1.44018,-6.9003,5.64407,-19.16829,17.46698,-17.32584
RV,3511,1739352229560,0.92871,-1.48295,8.93899,31.05453,-2.21627,62.9292
RV,3512,1739352229577,0.64875,-0.3009,15.469,51.95083,-17.36781,92.78596
RV,3513,1739352229592,0.81864,-4.97169,8.02493,16.54385,6.49242,41.09834
RV,3514,1739352229606,0.81864,-4.97169,8.02493,-3.54375,10.41,4.59276
RV,3515,1739352229621,0.48604,-1.12403,10.12822,18.48166,-8.47219,38.50824
RV,3516,1739352229641,-0.7319,-3.06461,11.22413,-32.25613,4.66524,-56.6504
RV,3517,1739352229659,0.08166,0.68255,10.07079,3.55138,-9.97514,5.44723
RV,3518,1739352229674,0.29222,-3.33739,9.86979,0.72096,-7.86949,0.83539
RV,3519,1739352229692,0.05533,0.98166,12.06162,-18.68002,2.5901,-31.8556
RV,3520,1739352229708,0.05533,0.98166,12.06162,-19.60697,3.66963,-33.53402
RV,3521,1739352229728,-0.57876,-3.95234,7.27358,-15.77712,1.91111,-28.20504
RV,3522,1739352229743,1.65853,0.18485,11.77448,-10.01329,-0.63704,-20.32411
RV,3523,1739352229759,-0.78694,-3.46182,7.92204,-7.9763,-2.90671,-23.74579
RV,3524,1739352229773,0.6009,-0.9661,8.84327,-4.59657,-8.80406,-27.10262
RV,3525,1739352229791,-0.81805,-0.99242,9.83869,-6.68315,-13.93086,-44.24537
RV,3526,1739352229807,-0.81805,-0.99242,9.83869,-4.32955,-13.26331,-40.01118
RV,3527,1739352229825,0.3999,-1.8682,9.81476,-5.28701,-11.10426,-42.6852
RV,3528,1739352229841,-0.22941,-1.32263,8.84088,-3.17373,-8.8918,-36.1203
RV,3529,1739352229860,0.12233,-0.41336,10.20958,-0.7324,-7.01884,-28.47587
RV,3530,1739352229876,-0.8994,-2.82533,8.53939,1.17871,-5.493,-21.95675
RV,3531,1739352229892,-0.01645,-2.83968,9.71905,3.33013,1.22067,-5.28701
RV,3532,1739352229910,-0.01645,-2.83968,9.71905,1.09097,6.37799,-1.01468
RV,3533,1739352229924,-0.5333,-1.60738,10.25743,-0.11062,13.33579,8.7354
RV,3534,1739352229938,-0.24138,-1.04985,10.03729,-0.19836,13.38919,13.89653
RV,3535,1739352229958,-1.19372,-1.59302,9.85783,0.94983,14.11396,20.69794
RV,3536,1739352229972,-0.57876,-1.75813,10.32204,2.59392,14.23984,29.18157
RV,3537,1739352229988,-0.45434,-2.07159,10.24068,-0.33568,14.33902,24.39808
RV,3538,1739352230007,-0.45434,-2.07159,10.24068,-0.0534,12.75979,21.63633
RV,3539,1739352230023,0.78275,-2.14337,10.18086,1.01468,10.33371,15.12101
RV,3540,1739352230041,0.33529,-3.67717,10.51107,-3.10889,10.30701,0.24032
RV,3541,1739352230057,-0.41844,-1.40877,10.85085,-6.49242,10.71135,-9.4144
RV,3542,1739352230083,-0.88026,-1.74377,9.71426,-8.99098,10.8029,-20.33937
RV,3543,1739352230098,-0.20548,-1.8993,10.0684,-8.89561,9.82637,-25.85144
RV,3544,1739352230114,0.10558,-1.66002,9.67119,-5.03144,7.54525,-22.71204
RV,3545,1739352230134,0.10558,-1.66002,9.67119,-3.17755,6.12241,-21.27012
RV,3546,1739352230148,0.49801,-2.23191,9.82433,-2.86857,5.66084,-21.40745
RV,3547,1739352230158,0.50518,-1.46381,9.64726,-2.76939,5.24505,-21.70117
RV,3548,1739352230172,0.32333,-2.28933,10.11386,4.64235,2.3269,-9.23511
RV,3549,1739352230192,0.11994,-1.46142,9.82194,5.38238,0.29754,-5.09629
RV,3550,1739352230207,0.11994,-1.46142,9.82194,5.90879,-2.03317,-3.70396
RV,3551,1739352230224,-0.77737,-3.00239,9.85065,2.15524,-3.00208,-7.15616
RV,3552,1739352230243,-0.53091,-1.78205,11.06381,2.60918,-3.89088,-6.74037
RV,3553,1739352230266,0.30419,-1.46142,9.62094,2.81135,-5.03144,-8.65529
RV,3554,1739352230282,0.08883,-2.51187,10.27897,5.54259,-4.03583,-6.64119
RV,3555,1739352230298,-0.16959,-2.66261,9.79562,4.08161,-2.47185,-12.71783
RV,3556,1739352230317,-0.16959,-2.66261,9.79562,2.55959,-0.74003,-18.30238
RV,3557,1739352230330,-0.87547,-2.20798,10.01576,0.17929,1.13293,-24.33705
RV,3558,1739352230339,0.2324,-1.14317,9.95115,1.53728,1.9607,-19.83203
RV,3559,1739352230355,-0.24138,-0.51147,9.15673,0.82776,2.91434,-18.96993
RV,3560,1739352230377,0.11515,-2.39701,9.94876,2.53288,2.24679,-13.59136
RV,3561,1739352230394,0.1343,-1.87298,8.99402,1.23211,1.75089,-13.75539
RV,3562,1739352230409,0.1343,-1.87298,8.99402,0.19073,1.59068,-14.6976
RV,3563,1739352230424,0.44058,-0.8321,10.48954,2.91434,0.42342,-8.66292
RV,3564,1739352230442,0.58654,-1.73181,9.36252,9.04057,-3.33776,-0.35476
RV,3565,1739352230471,0.62004,-2.65543,10.2024,5.36712,-4.67287,-8.61715
RV,3566,1739352230488,-0.21984,-1.38963,9.62573,2.69691,-6.11859,-21.16331
RV,3567,1739352230507,-0.09541,-1.47817,10.80778,-1.92637,-4.50121,-32.1951
RV,3568,1739352230527,0.67029,-2.9019,9.71905,-3.78788,-2.54051,-34.64787
RV,3569,1739352230542,-0.01406,-2.94018,9.78605,-12.06172,0.88498,-43.15059
RV,3570,1739352230557,-0.43519,-1.39442,10.468,-13.24424,1.55635,-43.43668
RV,3571,1739352230575,-0.55962,-2.14337,9.96072,-7.8466,0.86591,-33.00379
RV,3572,1739352230592,-0.11695,-0.76989,9.68555,-4.90174,1.11767,-24.48964
RV,3573,1739352230608,-0.11695,-0.76989,9.68555,-2.49855,1.31985,-18.05062
RV,3574,1739352230624,-0.08824,-2.26301,9.69273,3.44457,3.70778,0.1831
RV,3575,1739352230645,-0.38495,-2.13619,9.24288,5.31753,7.21338,12.72546
RV,3576,1739352230671,0.18933,-1.36331,10.09951,8.52941,7.03028,22.04449
RV,3577,1739352230689,-0.6673,-2.1338,10.77428,8.41497,6.46954,23.64661
RV,3578,1739352230714,-1.08365,-0.9996,10.6666,5.33279,5.47011,14.86162
RV,3579,1739352230726,-1.08365,-0.9996,10.6666,3.68489,5.58837,10.02473
RV,3580,1739352230744,0.27547,-2.65543,10.42972,0.91931,5.65703,0.12207
RV,3581,1739352230757,0.5674,-1.55234,10.07318,-0.58363,5.86302,-3.70778
RV,3582,1739352230775,0.54826,-2.82054,10.98724,0.31661,5.18402,-3.90995
RV,3583,1739352230792,0.66072,-0.72443,9.8363,-0.38527,5.20691,-7.15235
RV,3584,1739352230808,0.66072,-0.72443,9.8363,-3.30343,6.90058,-10.74569
RV,3585,1739352230824,-0.38734,-2.72483,10.27418,-6.27881,8.31198,-14.58316
RV,3586,1739352230841,-0.92333,-1.10249,9.2692,-8.63241,10.8792,-10.94786
RV,3587,1739352230867,-1.27029,-1.83709,10.62832,-6.748,9.65471,-1.0719
RV,3588,1739352230885,-0.31795,-1.01635,8.24746,-5.14206,9.89503,7.49184
RV,3589,1739352230900,0.24915,-1.77009,10.32204,-5.40527,9.66616,7.53762
RV,3590,1739352230919,-0.73908,-2.07159,9.96072,0.99179,5.35949,13.79354
RV,3591,1739352230935,-0.03081,-1.96152,10.07797,14.34665,-0.95365,29.10528
RV,3592,1739352230944,-0.03081,-1.96152,10.07797,13.33197,-1.1253,26.79364
RV,3593,1739352230954,-1.3325,-1.27478,10.68814,14.09489,-2.22772,25.28688
RV,3594,1739352230976,-1.15065,-1.74856,10.2359,14.64038,-5.90116,15.327
RV,3595,1739352230992,0.28026,-2.21994,9.31466,10.73806,-6.66789,-1.74708
RV,3596,1739352231010,0.28026,-2.21994,9.31466,7.95341,-7.41174,-18.0201
RV,3597,1739352231026,-0.11456,-0.69332,10.72643,4.17316,-5.42052,-25.02749
RV,3598,1739352231044,0.04576,-3.33021,9.2692,-0.08011,-2.27731,-30.10089
RV,3599,1739352231060,0.17258,-0.28893,9.80519,-4.24945,-1.15963,-35.44512
RV,3600,1739352231073,0.01705,-2.47837,9.52523,-4.51647,-1.66316,-34.33126
RV,3601,1739352231094,0.65593,-0.8656,9.74058,-7.20957,-0.99179,-34.50673
RV,3602,1739352231106,0.65593,-0.8656,9.74058,-5.92787,-1.831,-31.32537
RV,3603,1739352231122,-0.35384,-1.55234,9.76212,-4.90556,-7.49184,-34.85768
RV,3604,1739352231141,0.04576,-0.91585,10.47279,0.14495,-11.19962,-25.96969
RV,3605,1739352231158,-0.19113,-2.64586,8.87438,2.8762,-12.67587,-20.41947
RV,3606,1739352231176,1.34028,-0.93021,9.97269,-0.47301,-12.90474,-21.46467
RV,3607,1739352231194,0.51476,-2.52622,10.03251,2.42989,-13.22898,-13.62951
RV,3608,1739352231209,0.51476,-2.52622,10.03251,1.831,-14.39243,-15.99837
RV,3609,1739352231253,-0.00688,-0.92542,10.3675,-0.34713,-9.79967,-10.57784
RV,3610,1739352231274,-1.12672,-3.86381,9.37448,-1.17871,-7.94959,-8.85365
RV,3611,1739352231290,-0.99272,-1.34656,11.53759,-5.63033,-3.08981,-2.80753
RV,3612,1739352231302,-0.87308,-1.90648,9.1017,-1.27407,-2.39174,8.82313
RV,3613,1739352231307,-0.87308,-1.90648,9.1017,-1.27407,-2.39174,8.82313
RV,3614,1739352231320,-0.86351,-0.58325,10.58286,-0.38146,5.29464,27.20943
RV,3615,1739352231341,0.07926,-0.65025,8.99642,1.06427,12.45462,41.61331
RV,3616,1739352231359,-0.43519,-1.30588,10.17129,4.54317,12.37833,45.88564
RV,3617,1739352231374,-0.54287,-1.56192,9.5683,13.98808,14.93028,63.12375
RV,3618,1739352231392,-0.62183,-2.04527,10.08036,17.80648,12.64153,60.8884
RV,3619,1739352231416,-0.62183,-2.04527,10.08036,14.76626,10.03617,45.72543
RV,3620,1739352231430,0.24437,-0.39661,10.2335,8.86509,9.63564,24.14632
RV,3621,1739352231439,0.24437,-0.39661,10.2335,9.09778,8.5256,18.23753
RV,3622,1739352231457,0.55065,-0.13579,10.01097,9.03294,5.96983,10.75713
RV,3623,1739352231472,0.31376,-2.97368,10.00379,6.51913,0.97653,-3.73066
RV,3624,1739352231491,-0.65533,-1.77488,10.07558,-2.41463,-2.2239,-24.33324
RV,3625,1739352231507,-0.65533,-1.77488,10.07558,-7.01121,-2.38412,-32.57274
RV,3626,1739352231525,0.46929,-2.04048,10.3364,-10.12772,-0.62559,-33.8964
RV,3627,1739352231541,-0.58116,-1.3992,9.12323,-9.2847,-2.46041,-27.23995
RV,3628,1739352231558,0.51954,-0.54257,9.72383,-8.44549,-3.32632,-19.50016
RV,3629,1739352231587,-0.42562,-2.2989,8.64706,-9.54791,-4.67287,-3.54756
RV,3630,1739352231603,-0.43998,0.27817,10.23111,-11.41324,-3.3225,-0.43868
RV,3631,1739352231618,-0.9664,-2.53101,8.67338,-10.59692,-2.80753,1.48006
RV,3632,1739352231634,-0.84197,-3.60299,9.70469,-0.59889,-2.5634,19.67181
RV,3633,1739352231644,-0.84197,-3.60299,9.70469,-0.7858,-2.09421,18.77538
RV,3634,1739352231655,-0.93769,0.45284,10.61396,-2.54051,-0.27084,17.261
RV,3635,1739352231677,0.36162,-1.51884,9.69751,1.10242,2.13617,24.68799
RV,3636,1739352231692,-0.1672,-1.97109,10.18326,2.99445,4.71483,25.07708
RV,3637,1739352231708,-0.1672,-1.97109,10.18326,3.00971,5.53115,22.05974
RV,3638,1739352231725,-0.58834,-1.66241,9.72144,3.66963,4.66524,15.29648
RV,3639,1739352231743,0.1654,-2.39222,10.09233,2.16287,4.48214,7.51473
RV,3640,1739352231760,-0.43998,-1.57866,9.68794,-0.39672,4.22656,0.26702
RV,3641,1739352231771,-0.00209,-1.25085,10.6666,0.59889,2.43371,-4.43636
RV,3642,1739352231791,-0.00209,-1.25085,10.6666,1.63264,-1.62883,-12.82845
RV,3643,1739352231805,0.34008,-3.09093,9.18066,0.75529,-2.88764,-17.99721
RV,3644,1739352231824,0.45254,-2.9665,9.67598,-3.48272,-2.05225,-26.42363
RV,3645,1739352231841,-1.38036,-0.94217,11.03271,-6.73274,-1.84244,-30.58153
RV,3646,1739352231856,0.12951,-1.9998,10.45125,-6.24066,-1.01086,-26.30538
RV,3647,1739352231875,-0.63141,0.14417,9.99901,-3.10507,-1.11386,-18.58084
RV,3648,1739352231892,-0.63141,0.14417,9.99901,0.48445,-0.25939,-7.89238
RV,3649,1739352231914,-1.17458,-2.78465,9.55155,1.36562,0.65992,-3.07074
RV,3650,1739352231929,-0.0667,-2.01655,10.18804,1.27026,4.25708,2.53288
RV,3651,1739352231946,-0.25095,-1.16949,8.91027,2.2506,3.72303,3.59715
RV,3652,1739352231958,1.17278,-2.31805,9.84108,3.662,3.35302,8.72777
RV,3653,1739352231973,-0.19591,-0.36072,9.48694,2.60918,-0.51115,6.81666
RV,3654,1739352231993,-0.19591,-0.36072,9.48694,1.99121,-2.00647,9.26563
RV,3655,1739352232006,0.34247,-1.05942,9.42234,1.21304,-5.34805,2.89146
RV,3656,1739352232024,0.38794,-0.52343,10.63311,-0.82776,-9.66234,-5.96601
RV,3657,1739352232041,0.41904,-1.24128,9.40798,1.15582,-14.35047,-6.82811
RV,3658,1739352232058,0.28265,-3.59821,9.65683,7.65587,-15.8763,4.8903
RV,3659,1739352232075,-0.6338,-1.93998,10.12583,6.17581,-15.57876,0.68281
RV,3660,1739352232101,-0.6338,-1.93998,10.12583,6.64119,-10.53588,7.67113
RV,3661,1739352232112,-0.9329,-2.53819,10.28854,3.27673,-8.43786,1.8844
RV,3662,1739352232129,-0.48544,-1.9017,10.06601,3.67345,-7.33926,1.34273
RV,3663,1739352232141,-0.95444,-1.13121,10.535,2.42226,-4.34863,-2.49474
RV,3664,1739352232154,-0.50459,-2.34915,10.1689,0.67518,-0.85828,-1.52583
RV,3665,1739352232175,0.01226,-3.50249,9.11845,0.17166,4.80256,5.53878
RV,3666,1739352232192,0.01226,-3.50249,9.11845,-11.58108,11.56582,-5.42815
RV,3667,1739352232210,-1.14108,-1.87537,11.70748,-11.35602,12.18378,-3.19662
RV,3668,1739352232227,-0.84197,-1.54995,8.87199,-11.12714,15.08668,2.5367
RV,3669,1739352232243,-0.01167,0.42652,10.71207,-8.59044,14.53738,7.09131
RV,3670,1739352232265,-0.56441,-0.55454,8.2331,-4.96659,11.29499,12.85515
RV,3671,1739352232279,0.57936,-4.41177,10.24068,-1.20541,8.90705,19.00808
RV,3672,1739352232299,-0.65533,-1.29392,9.90329,-2.22772,6.09571,16.41034
RV,3673,1739352232308,-0.65533,-1.29392,9.90329,2.21627,3.91758,23.03246
RV,3674,1739352232321,-0.38495,-3.09093,10.62353,7.42318,1.03757,29.00992
RV,3675,1739352232339,0.53868,-0.54497,9.77408,3.6887,-0.576,15.98693
RV,3676,1739352232357,-0.30359,-0.72443,10.15215,3.95572,-3.56282,9.44873
RV,3677,1739352232377,-0.5333,-3.4331,10.02772,1.96451,-5.04288,-2.33453
RV,3678,1739352232391,-0.5333,-3.4331,10.02772,-11.63448,0.54167,-28.81537
RV,3679,1739352232409,-1.1004,-0.26022,11.0686,-10.49392,0.98416,-31.03165
RV,3680,1739352232433,-0.70798,-2.799,9.60658,-4.52028,1.00705,-20.16771
RV,3681,1739352232450,0.24915,-1.52842,9.71905,-2.50237,1.09479,-15.25452
RV,3682,1739352232463,-0.39452,-0.71007,9.55155,2.44133,0.38146,-3.68107
RV,3683,1739352232472,-0.49262,-2.16969,9.41994,6.83574,0.44631,7.07224
RV,3684,1739352232501,-0.22223,-1.73659,10.13779,6.66789,-0.38527,15.53299
RV,3685,1739352232509,-0.22223,-1.73659,10.13779,7.54906,-1.39232,18.11165
RV,3686,1739352232523,-0.75105,-0.48754,10.42014,9.75389,-2.25823,22.69678
RV,3687,1739352232539,0.75882,-1.89212,8.24028,7.63298,-2.33071,19.08437
RV,3688,1739352232555,-0.06431,-0.32243,11.90609,6.83192,-4.238,13.54559
RV,3689,1739352232574,0.91914,-3.00957,8.61835,7.03409,-5.5197,9.98658
RV,3690,1739352232591,0.91914,-3.00957,8.61835,5.45486,-6.60686,0.59126
RV,3691,1739352232608,1.23739,-0.61436,10.89871,4.59657,-6.4352,-4.36007
RV,3692,1739352232625,0.42144,-1.82273,9.55634,4.24182,-5.87065,-5.40908
RV,3693,1739352232644,-0.25573,-2.33719,10.09951,-0.11825,-4.16171,-13.01155
RV,3694,1739352232667,-0.00927,-1.97827,9.24766,-11.7947,-0.35094,-30.47091
RV,3695,1739352232682,-0.33948,-2.44726,10.97528,-14.02623,0.51878,-27.6443
RV,3696,1739352232701,0.09362,-2.00219,8.98684,-20.43855,2.1705,-32.8512
RV,3697,1739352232714,0.09362,-2.00219,8.98684,-15.49103,2.60536,-15.42618
RV,3698,1739352232726,0.6009,-2.58844,11.59981,-16.7384,2.60918,-17.53183
RV,3699,1739352232740,-0.68166,-1.06421,9.27159,-12.91237,1.831,-10.66177
RV,3700,1739352232759,-0.58116,1.05344,9.73101,-3.28436,0.93839,7.56051
RV,3701,1739352232776,-0.09781,-5.45743,8.31446,21.57911,-2.1438,52.49632
RV,3702,1739352232794,-0.51176,-3.17946,11.40359,39.61065,-4.90556,81.32695
RV,3703,1739352232809,-0.51176,-3.17946,11.40359,-0.34331,2.3269,-1.23211
RV,3704,1739352232824,0.01466,-3.42592,9.38166,-0.16403,2.49092,-3.84129
RV,3705,1739352232850,0.00269,-0.7675,10.59482,0.01144,2.46804,-6.26736
RV,3706,1739352232865,0.1989,-1.71984,9.84108,-0.37764,2.29638,-6.14148
RV,3707,1739352232873,0.1989,-1.71984,9.84108,-1.68605,2.38412,-7.56432
RV,3708,1739352232891,0.14387,1.27119,11.41556,-3.21951,2.3803,-9.18552
RV,3709,1739352232908,0.42861,0.44088,9.51326,-10.66558,3.82603,-20.41947
RV,3710,1739352232922,-0.59312,-3.53121,10.70489,35.04459,-7.55288,61.57121
RV,3711,1739352232942,-0.88744,-2.18883,9.77408,22.73874,-5.61125,44.61538
RV,3712,1739352232958,0.09362,-5.08894,7.6014,18.66095,-5.12299,39.99974
RV,3713,1739352232975,-0.32991,1.5344,14.09313,-24.53541,4.71101,-31.01639
RV,3714,1739352232991,-0.32991,1.5344,14.09313,-16.28446,2.96012,-15.71609
RV,3715,1739352233012,-0.3993,-1.35613,7.92922,-3.99768,0.88498,6.30551
RV,3716,1739352233027,-1.2655,2.15414,12.47558,-5.55785,1.39614,1.4381
RV,3717,1739352233042,0.01705,-5.37368,8.96531,-3.44076,2.33834,4.3677
RV,3718,1739352233060,0.32572,-0.2674,10.18326,-3.50942,3.01734,2.34978
RV,3719,1739352233074,0.27069,0.50788,9.84826,-4.98566,3.62767,-5.60363
RV,3720,1739352233091,0.27069,0.50788,9.84826,33.33184,-4.40203,57.58879
RV,3721,1739352233108,0.57936,-2.21037,8.55614,34.36559,-6.06519,54.70877
RV,3722,1739352233125,-0.65773,-5.32583,8.08953,-10.31464,-4.72246,-49.67352
RV,3723,1739352233141,-0.41844,0.30927,12.47079,-24.76047,2.71598,-67.8195
RV,3724,1739352233161,0.41665,-1.99023,8.91267,-22.48316,2.20864,-62.30361
RV,3725,1739352233177,0.41665,-1.99023,8.91267,-18.12309,0.27846,-49.64301
RV,3726,1739352233190,0.5985,-0.48275,10.98485,-6.5115,-2.68928,-23.89075
RV,3727,1739352233211,0.44536,-2.9665,8.88874,-6.31314,-2.97919,-19.22551
RV,3728,1739352233228,0.87368,-0.88714,8.336,-12.04264,0.1564,-23.96704
RV,3729,1739352233239,-0.4998,-0.30568,12.47558,-11.05467,0,-17.37925
RV,3730,1739352233258,-0.49262,-2.64586,8.11346,9.43347,-4.6805,21.75076
RV,3731,1739352233276,0.7325,-0.01137,7.5344,14.24747,-5.56548,38.63793
RV,3732,1739352233292,0.7325,-0.01137,7.5344,-5.22598,-4.48214,1.20541
RV,3733,1739352233308,-1.09801,-0.23151,9.81715,-2.0408,-5.01999,6.85862
RV,3734,1739352233325,0.05533,-2.87557,8.99402,6.99976,-5.77147,25.42039
RV,3735,1739352233341,0.60329,-2.32762,10.52782,8.96427,-5.62651,32.1188
RV,3736,1739352233368,-0.41127,-0.11186,10.05165,5.6761,-4.96277,28.51784
RV,3737,1739352233389,-0.41366,-1.95673,9.7358,3.81077,-3.00208,26.54188
RV,3738,1739352233406,0.22283,-1.47099,9.95833,4.41729,-1.74327,26.83942
RV,3739,1739352233414,0.22283,-1.47099,9.95833,3.49416,-0.03052,25.5005
RV,3740,1739352233425,0.14626,-1.2676,10.54696,-5.2298,2.90671,9.3381
RV,3741,1739352233442,-0.01167,-1.23888,9.95354,-7.1676,2.14761,0.58745
RV,3742,1739352233458,-1.12193,-2.31087,10.25504,-3.89851,1.19778,5.0467
RV,3743,1739352233478,-0.78455,-0.96132,10.2,-1.60594,2.71598,10.0171
RV,3744,1739352233494,-0.78455,-0.96132,10.2,0.51115,4.18078,16.69644
RV,3745,1739352233516,-1.17936,-1.42313,10.77428,5.30609,0.93076,24.93975
RV,3746,1739352233534,-0.07627,-2.50229,10.77189,16.40271,-1.66697,46.92702
RV,3747,1739352233539,-0.07627,-2.50229,10.77189,14.70522,-1.98358,43.92113
RV,3748,1739352233558,0.63679,-2.61236,8.96052,10.9593,-1.75089,38.59215
RV,3749,1739352233572,0.63679,-2.61236,8.96052,5.50063,-3.61623,29.39138
RV,3750,1739352233591,0.48604,-1.27238,10.57568,2.64351,-6.87007,19.7214
RV,3751,1739352233608,0.18215,-1.37288,9.88176,-0.53786,-7.63298,11.04322
RV,3752,1739352233625,-0.72951,-1.38724,10.17847,-4.47832,-7.98393,-1.79667
RV,3753,1739352233641,-1.04536,-2.3683,9.69273,-5.04288,-7.27823,-5.38238
RV,3754,1739352233658,-0.30359,-2.38744,9.9344,-6.53057,-5.01618,-7.94197
